time,open,high,low,close,volume
2024-01-02,13.53,13.96,13.53,13.74,3860817
2024-01-03,13.83,13.91,13.7,13.91,2852496
2024-01-04,13.96,14.43,13.87,14.13,7479551
2024-01-05,14.38,14.38,14.08,14.21,2313500
2024-01-08,14.26,14.47,14.17,14.17,4508044
2024-01-09,14.3,14.3,13.96,14.08,2574778
2024-01-10,14.08,14.3,14.04,14.13,4069274
2024-01-11,14.13,14.56,14.08,14.17,6898475
2024-01-12,13.91,14.26,13.83,14.21,10246595
2024-01-15,14.56,14.6,14.21,14.21,6150491
2024-01-16,14.17,14.51,14.17,14.3,6532557
2024-01-17,14.34,14.9,14.3,14.47,16202477
2024-01-18,14.6,15.07,14.51,14.9,12970971
2024-01-19,14.98,15.07,14.81,14.9,4418220
2024-01-22,15.03,15.03,14.64,14.77,4692228
2024-01-23,14.9,14.9,14.73,14.77,3047775
2024-01-24,14.77,14.9,14.68,14.81,3447595
2024-01-25,14.86,14.94,14.77,14.94,4006286
2024-01-26,14.98,15.03,14.9,14.94,2119573
2024-01-29,14.9,15.41,14.86,15.07,9894493
2024-01-30,15.11,15.5,15.11,15.2,6967787
2024-01-31,15.28,15.33,15.07,15.11,7777179
2024-02-01,15.2,15.71,15.11,15.33,7873106
2024-02-02,15.33,15.58,15.24,15.24,5084235
2024-02-05,15.15,15.71,15.15,15.58,3816566
2024-02-06,15.63,15.8,15.41,15.5,1958763
2024-02-07,15.5,15.63,15.33,15.54,3171132
2024-02-15,15.75,15.75,15.54,15.58,2226711
2024-02-16,15.58,15.63,15.24,15.37,3627977
2024-02-19,15.28,15.37,15.11,15.15,3412092
2024-02-20,15.15,15.28,15.15,15.2,1848369
2024-02-21,15.28,15.37,15.15,15.2,2378139
2024-02-22,15.2,15.33,15.11,15.15,2328890
2024-02-23,15.15,15.45,14.64,14.64,5587480
2024-02-26,14.68,14.86,14.68,14.73,1660363
2024-02-27,14.86,14.98,14.73,14.73,2492177
2024-02-28,14.9,14.94,14.81,14.81,2817122
2024-02-29,14.9,14.94,14.64,14.64,3019678
2024-03-01,14.64,14.77,14.56,14.6,3423067
2024-03-04,14.64,14.86,14.6,14.73,4162685
2024-03-05,14.81,15.11,14.77,15.11,4371291
2024-03-06,15.28,15.84,15.24,15.28,7872888
2024-03-07,15.33,15.33,15.15,15.15,2986371
2024-03-08,15.15,15.24,14.6,14.64,6065260
2024-03-11,14.68,14.73,14.13,14.17,5752604
2024-03-12,14.17,14.47,14.13,14.43,3745986
2024-03-13,14.56,14.6,14.38,14.56,3638212
2024-03-14,14.64,14.64,14.34,14.34,2646897
2024-03-15,14.34,14.34,14.13,14.17,5228290
2024-03-18,14.13,14.26,13.53,13.74,6627489
2024-03-19,13.74,13.91,13.7,13.83,1632789
2024-03-20,13.87,14.56,13.83,14.56,6338792
2024-03-21,14.56,14.64,14.34,14.43,3612306
2024-03-22,14.56,14.64,14.38,14.38,3856273
2024-03-25,14.43,14.47,14.17,14.17,3567757
2024-03-26,14.26,14.47,14.13,14.43,2798737
2024-03-27,14.56,14.56,14.34,14.34,2537049
2024-03-28,14.43,14.51,14.38,14.47,4300393
2024-03-29,14.47,15.03,14.47,15.03,7976386
2024-04-01,14.81,15.03,14.73,14.81,2928481
2024-04-02,14.73,14.98,14.6,14.86,7263756
2024-04-03,14.98,15.03,14.77,14.77,4240934
2024-04-04,14.77,14.86,14.6,14.6,3479284
2024-04-05,14.56,14.77,14.43,14.64,3022122
2024-04-08,14.73,14.98,14.64,14.86,3202197
2024-04-09,14.86,15.88,14.86,15.88,9845749
2024-04-10,16.1,16.27,16.01,16.05,13020794
2024-04-11,16.01,16.27,15.67,15.67,7387885
2024-04-12,15.8,16.74,15.75,16.74,15116213
2024-04-15,16.74,17.42,15.58,16.01,10461255
2024-04-16,16.01,16.74,16.01,16.65,10904965
2024-04-17,16.87,17.21,16.4,17.21,15305960
2024-04-19,16.78,17.21,16.01,17.21,14683425
2024-04-22,17.21,17.42,16.87,17.38,8192822
2024-04-23,17.42,17.64,17.25,17.55,7832966
2024-04-24,17.64,18.02,17.55,18.02,5705685
2024-04-25,18.15,18.19,17.64,17.81,4991372
2024-04-26,17.81,17.89,17.08,17.89,5822424
2024-05-02,17.89,17.98,17.55,17.55,2189798
2024-05-03,17.47,17.81,17.12,17.3,3568722
2024-05-06,17.3,17.59,17.3,17.38,3206488
2024-05-07,17.42,17.85,17.3,17.47,3632596
2024-05-08,17.47,17.89,17.38,17.38,3566714
2024-05-09,17.55,17.55,17.04,17.12,3586437
2024-05-10,17.12,17.38,17.12,17.21,2002279
2024-05-13,17.25,17.25,17.0,17.04,3088288
2024-05-14,17.08,17.25,17.0,17.21,2951012
2024-05-15,17.21,17.94,17.21,17.64,11546566
2024-05-16,17.94,18.84,17.77,18.84,12603636
2024-05-17,19.09,19.95,19.01,19.86,9843149
2024-05-20,20.12,20.38,19.52,19.69,7094764
2024-05-21,19.86,19.86,19.35,19.52,5857405
2024-05-22,19.61,20.38,19.48,19.91,5276896
2024-05-23,19.91,20.08,19.61,19.95,2883309
2024-05-24,19.91,20.51,19.01,20.12,7737752
2024-05-27,19.86,20.12,19.82,20.08,1747834
2024-05-28,20.38,21.45,20.16,21.45,14984796
2024-05-29,21.79,22.6,21.4,22.26,10422067
2024-05-30,22.0,22.69,21.83,22.3,7081863
2024-05-31,22.52,22.52,21.96,22.09,4372475
2024-06-03,22.39,22.43,22.0,22.09,4495868
